iter	Passed	Remaining
1479	10276	59161
1480	10282	59145
1481	10287	59129
1482	10293	59118
1483	10298	59101
1484	10305	59089
1485	10312	59085
1486	10317	59067
1487	10323	59052
1488	10332	59062
1489	10338	59047
1490	10344	59033
1491	10349	59016
1492	10355	59003
1493	10361	58990
1494	10366	58973
1495	10372	58960
1496	10377	58942
1497	10382	58927
1498	10387	58911
1499	10394	58904
1500	10400	58890
1501	10406	58877
1502	10412	58863
1503	10417	58848
1504	10423	58837
1505	10430	58827
1506	10435	58814
1507	10442	58807
1508	10448	58793
1509	10454	58781
1510	10462	58777
1511	10467	58763
1512	10478	58777
1513	10484	58764
1514	10489	58750
1515	10495	58736
1516	10501	58722
1517	10507	58709
1518	10513	58700
1519	10519	58685
1520	10524	58669
1521	10529	58651
1522	10534	58636
1523	10539	58620
1524	10545	58605
1525	10551	58591
1526	10556	58575
1527	10561	58558
1528	10568	58549
1529	10573	58536
1530	10579	58523
1531	10585	58509
1532	10591	58497
1533	10596	58479
1534	10601	58464
1535	10606	58448
1536	10612	58435
1537	10617	58417
1538	10622	58402
1539	10628	58387
1540	10634	58374
1541	10639	58358
1542	10645	58347
1543	10651	58333
1544	10656	58319
1545	10662	58304
1546	10667	58290
1547	10672	58273
1548	10678	58257
1549	10683	58242
1550	10688	58227
1551	10693	58210
1552	10698	58193
1553	10706	58189
1554	10712	58180
1555	10718	58167
1556	10724	58154
1557	10730	58140
1558	10735	58126
1559	10746	58143
1560	10752	58129
1561	10759	58125
1562	10765	58112
1563	10771	58099
1564	10777	58086
1565	10782	58072
1566	10790	58068
1567	10796	58056
1568	10801	58040
1569	10806	58026
1570	10811	58008
1571	10817	57995
1572	10824	57988
1573	10829	57975
1574	10836	57966
1575	10841	57952
1576	10851	57957
1577	10856	57942
1578	10862	57931
1579	10867	57916
1580	10873	57901
1581	10878	57885
1582	10883	57871
1583	10890	57863
1584	10896	57852
1585	10907	57864
1586	10912	57850
1587	10918	57838
1588	10924	57824
1589	10930	57813
1590	10935	57798
1591	10941	57784
1592	10946	57769
1593	10951	57753
1594	10957	57742
1595	10962	57726
1596	10972	57732
1597	10985	57760
1598	11011	57855
1599	11019	57851
1600	11027	57850
1601	11035	57847
1602	11046	57865
1603	11053	57856
1604	11059	57846
1605	11065	57833
1606	11071	57822
1607	11077	57813
1608	11083	57802
1609	11090	57792
1610	11096	57782
1611	11102	57770
1612	11108	57760
1613	11113	57744
1614	11119	57729
1615	11124	57714
1616	11129	57699
1617	11135	57687
1618	11141	57674
1619	11146	57661
1620	11152	57650
1621	11158	57638
1622	11164	57625
1623	11172	57624
1624	11177	57608
1625	11183	57594
1626	11189	57583
1627	11195	57570
1628	11200	57556
1629	11206	57543
1630	11211	57528
1631	11219	57528
1632	11227	57528
1633	11233	57516
1634	11239	57502
1635	11244	57488
1636	11249	57472
1637	11255	57458
1638	11260	57443
1639	11266	57429
1640	11272	57419
1641	11277	57403
1642	11283	57390
1643	11288	57373
1644	11293	57359
1645	11299	57346
1646	11303	57329
1647	11308	57312
1648	11314	57297
1649	11319	57282
1650	11324	57268
1651	11329	57252
1652	11335	57238
1653	11339	57221
1654	11345	57206
1655	11350	57190
1656	11355	57176
1657	11360	57160
1658	11366	57147
1659	11371	57132
1660	11377	57119
1661	11383	57106
1662	11388	57093
1663	11394	57081
1664	11399	57067
1665	11405	57053
1666	11410	57040
1667	11416	57027
1668	11422	57015
1669	11428	57003
